,uuid,segmentid,partitionDate,device,timestamp,filedate,filetimeutc,updateTimeMs,sequenceNo,vin,tripId,localTimeMs,latitude,longitude,elevation,heading,gpsspeed,fixtypehvgps,gpssemimajaxis,gpssemiminaxis,gpsorientsemimaj,speed,yawrate,longaccel,transstate,gpsUncertaintyArea,speedMph,gpsspeedMph,elevationFt,gpssemimajaxisFt,gpssemiminaxisFt,brakestatus,throttlepospct,steerangle,turnsignal,headlamp,wiper,stabilitycontrolstatus,absstatus,traccontrolstatus,closestintersectid,gpsUncertainFlag,timestamp_hr,updateTimeMs_hr
132,1640995233040187710014,6f813aebcbec975f467a1097ea94b802,2022-01-01,10014,1640995233040,20220101,234454,1678858665000,1877,7b9d31aa17b849b238ab79cef0733041,1001420220101234454,86433040,27.97425764977904,-82.27916183889464,-3.351,269.40646,15.018,2.0,1.6,0.81,158.0,15.018,2.3002152,0.553748,2.0,4.071504079052373,33.59430920322,33.59430920322,-10.9940945049,5.249343840000001,2.6574803190000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
133,1640995233055385210071,8ee8b375371d2fd0a4605848e4636989,2022-01-01,10071,1640995233055,20220101,232855,1678858665000,3852,4910fcdaedc2be5c5f05533b7a9cb8c2,1007120220101232855,86433055,27.92255723781378,-82.28569262908155,-13.585,0.61755,13.723,2.0,1.0,0.91,168.0,13.723,0.10653655,-2.2743423,2.0,2.858849314766712,30.697476707670003,30.697476707670003,-44.570210041500005,3.2808399,2.9855643090000004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
134,1640995233540187810014,6f813aebcbec975f467a1097ea94b802,2022-01-01,10014,1640995233540,20220101,234454,1678858665000,1878,7b9d31aa17b849b238ab79cef0733041,1001420220101234454,86433540,27.974256788020107,-82.27923872065642,-3.281,269.01685,14.901,2.0,1.7,0.87,160.0,14.901,0.92672,-0.008334367,2.0,4.646415534659304,33.33258765729,33.33258765729,-10.7644357119,5.57742783,2.854330713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
135,1640995233555385310071,8ee8b375371d2fd0a4605848e4636989,2022-01-01,10071,1640995233555,20220101,232855,1678858665000,3853,4910fcdaedc2be5c5f05533b7a9cb8c2,1007120220101232855,86433555,27.922616237267007,-82.28569183168811,-13.401,0.60304,12.609,2.0,1.0,0.93,163.0,12.609001,0.1296524,-2.2080834,2.0,2.921681167838508,28.20553191754629,28.20552968061,-43.9665354999,3.2808399,3.051181107,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
136,1640995234040187910014,6f813aebcbec975f467a1097ea94b802,2022-01-01,10014,1640995234040,20220101,234454,1678858665000,1879,7b9d31aa17b849b238ab79cef0733041,1001420220101234454,86434040,27.97425360228496,-82.2793167627403,-3.132,267.84076,15.292,2.0,1.8,0.93,162.0,15.292,-1.4389029,0.39417848,2.0,5.259026102109314,34.20722974668,34.20722974668,-10.2755905668,5.90551182,3.051181107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
137,1640995234055385410071,8ee8b375371d2fd0a4605848e4636989,2022-01-01,10071,1640995234055,20220101,232855,1678858665000,3854,4910fcdaedc2be5c5f05533b7a9cb8c2,1007120220101232855,86434055,27.92267023845453,-82.28569152602617,-13.266,0.63458,11.311,2.0,1.0,0.93,154.0,11.311,0.22394888,-2.516061,2.0,2.921681167838508,25.30198637619,25.30198637619,-43.5236221134,3.2808399,3.051181107,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
138,1640995234540188010014,6f813aebcbec975f467a1097ea94b802,2022-01-01,10014,1640995234540,20220101,234454,1678858665000,1880,7b9d31aa17b849b238ab79cef0733041,1001420220101234454,86434540,27.974249948613537,-82.27939404513917,-3.085,267.49963,15.217,2.0,2.0,1.0,162.0,15.217,-1.4394585,-0.12871984,2.0,6.283185307179586,34.03945952493,34.03945952493,-10.1213910915,6.5616798,3.2808399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
139,1640995234555385510071,8ee8b375371d2fd0a4605848e4636989,2022-01-01,10071,1640995234555,20220101,232855,1678858665000,3855,4910fcdaedc2be5c5f05533b7a9cb8c2,1007120220101232855,86434555,27.92271922634739,-82.28569078312219,-13.1779995,0.31641,10.389,2.0,0.95,0.89,156.0,10.389,0.006416016,-2.1366503,2.0,2.65621658861017,23.23953111681,23.23953111681,-43.23490656178005,3.116797905,2.919947511,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
140,1640995235040188110014,6f813aebcbec975f467a1097ea94b802,2022-01-01,10014,1640995235040,20220101,234454,1678858665000,1881,7b9d31aa17b849b238ab79cef0733041,1001420220101234454,86435040,27.974250033132115,-82.27947260402135,-3.128,268.66998,15.375,2.0,2.1,1.1,161.0,15.375,1.2125547,0.25403747,2.0,7.257079029792424,34.39289545875,34.39289545875,-10.2624672072,6.889763790000001,3.60892389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
141,1640995235055385610071,8ee8b375371d2fd0a4605848e4636989,2022-01-01,10071,1640995235055,20220101,232855,1678858665000,3856,4910fcdaedc2be5c5f05533b7a9cb8c2,1007120220101232855,86435055,27.92276319910612,-82.28569060675979,-13.16,359.62595,9.338,2.0,0.91,0.85,159.0,9.338,-0.87184614,-2.0683584,2.0,2.4300219175517053,20.88851107602,20.88851107602,-43.175853084,2.9855643090000004,2.788713915,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
142,1640995235540188210014,6f813aebcbec975f467a1097ea94b802,2022-01-01,10014,1640995235540,20220101,234454,1678858665000,1882,7b9d31aa17b849b238ab79cef0733041,1001420220101234454,86435540,27.97424914216127,-82.27955110678525,-3.09,268.72708,15.356,2.0,2.1,1.1,161.0,15.356,0.422704,-0.09322107,2.0,7.257079029792424,34.35039366924,34.35039366924,-10.137795291,6.889763790000001,3.60892389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
143,1640995235555385710071,8ee8b375371d2fd0a4605848e4636989,2022-01-01,10071,1640995235555,20220101,232855,1678858665000,3857,4910fcdaedc2be5c5f05533b7a9cb8c2,1007120220101232855,86435555,27.9228018296965,-82.28568966746941,-13.18,0.40369,8.046,2.0,0.87,0.81,163.0,8.046,-0.05068642,-2.3927085,2.0,2.213880342984728,17.998389389339998,17.998389389339998,-43.241469882,2.854330713,2.6574803190000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
144,1640995236040188310014,6f813aebcbec975f467a1097ea94b802,2022-01-01,10014,1640995236040,20220101,234454,1678858665000,1883,7b9d31aa17b849b238ab79cef0733041,1001420220101234454,86436040,27.97424888106605,-82.27963031857038,-3.126,268.97293,15.402,2.0,2.2,1.1,160.0,15.402,0.3444747,-0.01628746,2.0,7.602654221687301,34.45329273858,34.45329273858,-10.2559055274,7.21784778,3.60892389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
145,1640995236055385810071,8ee8b375371d2fd0a4605848e4636989,2022-01-01,10071,1640995236055,20220101,232855,1678858665000,3858,4910fcdaedc2be5c5f05533b7a9cb8c2,1007120220101232855,86436055,27.92283492832525,-82.28568907389199,-13.147,0.36789,6.872,2.0,0.83,0.77,169.0,6.872,0.19496658,-2.3519957,2.0,2.007791864909237,15.37222618488,15.37222618488,-43.133202165300006,2.723097117,2.5262467230000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
146,1640995236540188410014,6f813aebcbec975f467a1097ea94b802,2022-01-01,10014,1640995236540,20220101,234454,1678858665000,1884,7b9d31aa17b849b238ab79cef0733041,1001420220101234454,86436540,27.974249323609847,-82.2797100312275,-3.373,269.24146,15.798,2.0,2.2,1.1,158.0,15.798,0.58224255,0.47323865,2.0,7.602654221687301,35.33911950942,35.33911950942,-11.0662729827,7.21784778,3.60892389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
